x_value,y_value,z_value
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[-0.8660254  -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[-1. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[-1. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  4.33012702]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  5.19615242]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[-1. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[-0.8660254  -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  5.19615242]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -2.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  2.59807621]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[-1. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -2.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -2.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -2.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -1.73205081 -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[-0.8660254  -0.8660254  -1.73205081  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[-1. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -4.33012702  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -1.73205081  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.92820323]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -2. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -3.46410162  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  7.79422863]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
[ 0. -3. -3. -3.],[245. 158.  71.   0.],[ 0.         -0.8660254  -2.59807621  6.06217783]
